HTS CODE	DESCRIPTION	BASE DUTY RATE
6215.90.00	Of other textile materials	5%
6403.19.10.00	Golf shoes	5%
6403.40.30	Welt footwear	5%
6403.51.30	Welt footwear	5%
6403.59.30	Welt footwear	5%
6403.91.30	Welt footwear	5%
6403.99.40	Welt footwear	5%
7004.90.50.00	Other	5%
7007.19.00.00	Other	5%
7013.28.40.00	Valued over $5 each	5%
7013.28.60	Valued over $5 each	5%
7013.37.40.00	Valued over $5 each	5%
7013.37.60	Valued over $5 each	5%
7014.00.20.00	Other	5%
7016.90.50.00	Other	5%
7018.20.00.00	Glass microspheres not exceeding 1 mm in diameter	5%
7020.00.60.00	Other	5%
7113.11.50.00	Other	5%
7113.19.21.00	Rope	5%
7202.93.40.00	Containing by weight less than 0.02 percent of phosphorus or sulfur or less than 0.4 percent of silicon	5%
7202.93.80.00	Other	5%
7202.99.20.00	Calcium silicon	5%
7202.99.80	Other	5%
7307.23.00	Butt welding fittings	5%
7307.29.00	Other	5%
7603.10.00.00	Powders of non-lamellar structure	5%
7604.10.10.00	Profiles	5%
7604.29.10	Other profiles	5%
7613.00.00.00	Aluminum containers for compressed or liquefied gas	5%
8205.30.60.00	Other (including parts)	5%
8205.70.00	"Vises, clamps and the like, and parts thereof"	5%
8207.19.30	"With cutting part containing by weight over 0.2 percent of chromium, molybdenum, or tungsten or over 0.1 percent of vanadium"	5%
8207.50.20	"With cutting part containing by weight over 0.2 percent of chromium, molybdenum, or tungsten or over 0.1 percent of vanadium"	5%
8207.70.30	"With cutting part containing by weight over 0.2 percent of chromium, molybdenum, or tungsten or over 0.1 percent of vanadium"	5%
8207.90.30	"Cutting tools with cutting part containing by weight over 0.2 percent of chromium, molybdenum, or tungsten or over 0.1 percent of vanadium"	5%
8215.99.40	With base metal (except stainless steel) or nonmetal handles	5%
8404.20.00.00	Condensers for steam or other vapor power units	5%
8406.90.20.00	"Rotors, finished for final assembly"	5%
8406.90.30.00	"Rotors, not further advanced than cleaned or machined for removal of fins, gates, sprues, and risers, or to permit location in finishing machinery"	5%
8406.90.40.00	"Blades, rotating or stationary"	5%
8406.90.45	Other	5%
8481.30.20	Of iron or steel	5%
8481.90.30.00	Of iron or steel	5%
8528.59.33	Other	5%
8528.59.50.00	Other	5%
8528.59.60.00	Black and white or other monochrome	5%
8528.69.20.00	Other	5%
8528.69.30.00	Other	5%
8528.69.50.00	Other	5%
8528.69.60.00	Other	5%
8528.69.70.00	Black and white or other monochrome	5%
8528.72.24.00	Other	5%
8528.72.32.00	Other	5%
8528.72.40.00	Other	5%
8528.72.48.00	Other	5%
8528.72.56.00	Other	5%
8528.72.72	Other	5%
8528.72.97.00	Other	5%
8528.73.00.00	"Other, monochrome"	5%
8544.30.00.00	"Ignition wiring sets and other wiring sets of a kind used in vehicles, aircraft or ships"	5%
8603.10.00.00	Powered from an external source of electricity	5%
8603.90.00.00	Other	5%
9207.90.00	Other	5%
9507.90.60.00	"Fish landing nets, butterfly nets and similar nets"	5%
9619.00.05.00	Of plastics	5%
9902.04.65	"2,4,5,6-Tetrachloroisophthalonitrile (Chlorothalonil) (CAS No. 1897-45-6) (provided for in subheading 2926.90.21)"	5.00%
9902.05.18	Methyl (1E)-N-[(methylcarbamoyl)oxy]ethanimidothioate (Methomyl) (CAS No. 16752-77-5) (provided for in subheading 2930.90.43)	5.00%
9902.07.15	"4-(2,2-Difluoro-1,3-benzodioxol-4-yl)-1H-pyrrole-3-carbonitrile (Fludioxonil (ISO)) (CAS No. 131341-86-1) (provided for in subheading 2934.99.12)"	5.00%
9902.07.56	N-{[4-(Cyclopropylcarbamoyl)phenyl]sulfonyl}-2-methoxybenzamide (Cyprosulfamide) (CAS No. 221667-31-8) (provided for in subheading 2935.90.75)	5.00%
9902.10.66	"Poly(isobutylene) hydroformylation products, reaction products with ammonia (CAS No. 337367-30-3) (provided for in subheading 3902.20.50)"	5.00%
9902.14.40	"Footwear for women, with uppers of vegetable fibers, with open toes or open heels, having uppers of which at least 30 percent of the external surface area (including any sheepskin accessories or reinforcements such as those mentioned in note 4(a) to chapter 64) is sheepskin; the foregoing having outer soles with textile materials having the greatest surface area in contact with the ground, but not taken into account under the terms of additional U.S. note 5 to chapter 64 (provided for in subheading 6404.19.36)"	5.00%
0510.00.20.00	"Ambergris, castoreum, civet and musk"	5.10%
0711.90.50.00	Onions	5.10%
1701.91.80.00	Other	5.10%
1702.40.40.00	Other	5.10%
1702.60.40	Other	5.10%
1702.90.90.00	Other	5.10%
2903.19.05.00	"1,2-Dichloropropane (Propylene dichloride) and dichlorobutanes"	5.10%
2912.49.60.00	Other	5.10%
2912.60.00.00	Paraformaldehyde	5.10%
2918.11.10.00	Lactic acid	5.10%
3209.10.00.00	Based on acrylic or vinyl polymers	5.10%
3823.70.20.00	Oleyl	5.10%
3926.90.55.00	V-belts	5.10%
3926.90.56.00	With textile components in which vegetable fibers predominate by weight over any other textile fiber	5.10%
4301.60.30.00	"Of silver, black or platinum fox (including those of any fox which is a mutation, or type developed, from silver, black or platinum foxes)"	5.10%
4412.33.26	With a face ply of walnut (<u>Juglans</u> spp.)	5.10%
4412.34.26.00	With a face ply of Spanish cedar (<u>Cedrela</u> spp.)	5.10%
4412.39.50	Other	5.10%
4412.59.90.00	Other	5.10%
4412.99.91.00	Other	5.10%
4417.00.80	Other	5.10%
4421.91.40.00	Other	5.10%
4421.91.60.00	Other	5.10%
4421.99.40.00	Other	5.10%
4421.99.60.00	Other	5.10%
6302.59.10	Tablecloths and napkins	5.10%
6306.19.21	Other	5.10%
6402.19.15	Other	5.10%
9506.40.00.00	"Articles and equipment for table-tennis, and parts and accessories thereof"	5.10%
9615.90.30.00	Hair pins	5.10%
9902.10.67	"Poly(2-methylpropene) (polyisobutylene), other than elastomeric (CAS No. 9003-27-4) (provided for in subheading 3902.20.50)"	5.10%
9902.11.82	"Plastic elbows, holding pins, bend supports, anchor clips, staples of a kind used in construction applications (provided for in subheading 3917.40.00)"	5.10%
3912.20.00.00	Cellulose nitrates (including collodions)	5.20%
3912.90.00	Other	5.20%
5205.12.10.00	"Unbleached, not mercerized (300)"	5.20%
6603.90.81.00	Other	5.20%
7010.20.30.00	Other	5.20%
7010.90.30	Other	5.20%
7011.20.10.00	Cones	5.20%
7011.20.85	Other	5.20%
7113.20.29.00	Other	5.20%
7113.20.50.00	Other	5.20%
8207.50.60.00	"For handtools, and parts thereof"	5.20%
8402.11.00.00	Watertube boilers with a steam production exceeding 45 t per hour	5.20%
8402.19.00.00	"Other vapor generating boilers, including hybrid boilers"	5.20%
8539.29.20.00	Lamps having glass envelopes not over 6.35 mm in maximum diameter and suitable for use in cystoscopes and other surgical instruments	5.20%
9615.11.20.00	Of hard rubber	5.20%
9902.05.81	2-Chloro-N-(4'-chloro-biphenyl-2-yl)-nicotinamide (Boscalid) (CAS No. 188425-85-6) (provided for in subheading 2933.39.21)	5.20%
9902.09.24	"Product mixtures containing (5s, 8s)-3-(2,5-dimethylphenyl)-8-methoxy-2-oxo-1-azaspiro [4.5] dec-3-en-4-yl ethyl carbonate (Spirotetramat) (CAS No. 203313-25-1) (provided for in subheading 3808.91.25)"	5.20%
2804.69.10.00	Containing by weight less than 99.99 percent but not less than 99 percent of silicon	5.30%
2805.11.00.00	Sodium	5.30%
2911.00.50.00	Other	5.30%
2924.29.05.00	"Biligrafin acid; 3,5-Diacetamido-2,4,6-triiodobenzoic acid; and Metrizoic acid"	5.30%
3604.10.90	Other (including Class 1.4G)	5.30%
3901.30.60.00	Other	5.30%
3904.30.60.00	Other	5.30%
3904.40.00.00	Other vinyl chloride copolymers	5.30%
3905.91.50.00	Other	5.30%
3905.99.80.00	Other	5.30%
3917.40.00	Fittings	5.30%
3918.10.10	Vinyl tile	5.30%
3918.10.20.00	Other	5.30%
3918.10.40	Other	5.30%
3918.90.10.00	Floor coverings	5.30%
3918.90.30.00	Other	5.30%
3921.11.00.00	Of polymers of styrene	5.30%
3921.12.19	Other	5.30%
3921.13.19	Other	5.30%
3921.90.19	Other	5.30%
3923.40.00	"Spools, cops, bobbins and similar supports"	5.30%
3923.50.00.00	"Stoppers, lids, caps and other closures"	5.30%
3924.10.30.00	Trays	5.30%
3925.20.00	"Doors, windows and their frames and thresholds for doors"	5.30%
3925.30.50.00	Other	5.30%
3925.90.00.00	Other	5.30%
3926.10.00.00	Office or school supplies	5.30%
3926.30.50.00	Other	5.30%
3926.40.00	Statuettes and other ornamental articles	5.30%
3926.90.70.00	Other	5.30%
3926.90.83.00	Empty cartridges and cassettes for typewriter and machine ribbons	5.30%
3926.90.87.00	"Flexible plastic document binders with tabs, rolled or flat"	5.30%
3926.90.99	Other	5.30%
4202.21.30.00	Of reptile leather	5.30%
4202.29.10.00	Of plastics	5.30%
4202.39.10.00	Of plastics	5.30%
4302.30.00.00	"Whole skins and pieces or cuttings thereof, assembled"	5.30%
4419.19.10.00	Forks and spoons	5.30%
4419.20.10.00	Forks and spoons	5.30%
4419.90.11.00	Forks and spoons	5.30%
4602.19.29	Other	5.30%
6102.30.05.00	Containing 25 percent or more by weight of leather (635)	5.30%
6213.90.20.00	Other (859)	5.30%
6214.30.00.00	Of synthetic fibers (659)	5.30%
6214.40.00.00	Of artificial fibers (659)	5.30%
6307.10.20	Other	5.30%
6406.90.30	Of rubber or plastics	5.30%
7323.91.50	Other	5.30%
7323.99.70.00	Cookingware	5.30%
7607.11.60	Of a thickness exceeding <il>0.01 mm</il>	5.30%
7607.19.10.00	Etched capacitor foil	5.30%
8205.59.45.00	Caulking guns	5.30%
8205.59.55	Other	5.30%
8215.99.50.00	Other (including parts)	5.30%
8516.72.00.00	Toasters	5.30%
8544.20.00.00	Coaxial cable and other coaxial electric conductors	5.30%
8544.49.30	Of copper	5.30%
9013.10.50.00	Other	5.30%
9017.80.00.00	Other instruments	5.30%
9029.10.40.00	Taximeters	5.30%
9029.90.20.00	Of taximeters	5.30%
9206.00.80.00	Other	5.30%
9208.90.00	Other	5.30%
9209.99.80.00	Other	5.30%
9404.90.10	Of cotton (369)	5.30%
9405.61.60.00	Other	5.30%
9405.69.60.00	Other	5.30%
9506.51.20.00	"Rackets, strung"	5.30%
9506.99.55.00	Swimming pools and wading pools and parts and accessories thereof	5.30%
9615.11.40.00	Not set with imitation pearls or imitation gemstones	5.30%
9615.90.40.00	"Of rubber or plastics, not set with imitation pearls or imitation gemstones"	5.30%
9620.00.50.00	Of plastics	5.30%
9902.06.81	"2-[(2RS)-2-(1-Chlorocyclopropyl)-3-(2-chlorophenyl)-2-hydrox- ypropyl]-2H-1,2,4-triazole-3(4H)-thione (Prothioconazole) (CAS No. 178928-70-6)(provided for in subheading 2933.99.22)"	5.30%
9902.17.46	"Pillows, cushions and similar furnishings, the foregoing of materials other than cotton, each measuring over 4,000 cm² (provided for in subheading 9404.90.20)"	5.30%
0406.90.49.00	Gammelost and Nokkelost cheeses	5.40%
0807.19.70	"If entered during the period from December 1, in any year, to the following May 31, inclusive"	5.40%
0807.20.00.00	Papayas (papaws)	5.40%
2903.62.10.00	"Ethylene dibromide (ISO) (1,2-dibromoethane)"	5.40%
3307.90.00.00	Other	5.40%
6911.90.00	Other	5.40%
8540.91.15.00	Front panel assemblies	5.40%
8540.91.50.00	Other	5.40%
9207.10.00	"Keyboard instruments, other than accordions"	5.40%
9506.69.40.00	Noninflatable hollow balls not over 19 cm in diameter	5.40%
9507.30.80.00	Parts and accessories	5.40%
9902.07.26	"8-(2,6-Diethyl-4-methylphenyl)-1,2,4,5-tetrahydro-7-oxo- 7H-pyrazolo[1,2-d][1,4,5]oxadiazepin-9-yl-2,2- dimethylpropanoate (Pinoxaden) (CAS No. 243973-20-8) (provided for in subheading 2934.99.15)"	5.40%
9902.07.60	"N-{2,4-Dichloro-5-[4-(difluoromethyl)-3-methyl-5-oxo- 4,5-dihydro-1H-1,2,4-triazol-1-yl]phenyl}meth- anesulfonamide (Sulfentrazone) (CAS No. 122836-35-5) (provided for in subheading 2935.90.75)"	5.40%
2801.30.20.00	Bromine	5.50%
2804.69.50.00	Other	5.50%
2805.19.90	Other	5.50%
2821.20.00.00	Earth colors	5.50%
2823.00.00.00	Titanium oxides	5.50%
2824.90.10.00	Lead suboxide (leady litharge)	5.50%
2825.30.00	Vanadium oxides and hydroxides	5.50%
2825.90.30.00	Tungsten oxides	5.50%
2827.39.10.00	Of vanadium	5.50%
2827.39.40.00	Of tungsten	5.50%
2827.49.10.00	Of vanadium	5.50%
2827.49.50.00	Other	5.50%
2831.10.50.00	Other	5.50%
2831.90.00.00	Other	5.50%
2833.29.30.00	Of vanadium	5.50%
2834.10.10.00	Of sodium	5.50%
2834.29.05.00	Of bismuth	5.50%
2836.99.20.00	Bismuth carbonate	5.50%
2841.80.00	Tungstates (wolframates)	5.50%
2841.90.10.00	Vanadates	5.50%
2843.10.00.00	Colloidal precious metals	5.50%
2844.30.10.00	Thorium compounds	5.50%
2846.10.00	Cerium compounds	5.50%
2849.90.30.00	Of tungsten	5.50%
2850.00.10.00	Of tungsten	5.50%
2850.00.20.00	Of vanadium	5.50%
2903.11.00	Chloromethane (Methyl chloride) and chloroethane (Ethyl chloride)	5.50%
2903.13.00.00	Chloroform (Trichloromethane)	5.50%
2903.15.00.00	"Ethylene dichloride (ISO) (1,2-dichloroethane)"	5.50%
2903.19.60	Other	5.50%
2903.21.00.00	Vinyl chloride (Chloroethylene)	5.50%
2903.29.00.00	Other	5.50%
2903.81.00.00	"1,2,3,4,5,6-Hexachlorocyclohexane (HCH (ISO)), including lindane (ISO, INN)"	5.50%
2903.82.00.00	"Aldrin (ISO), chlordane (ISO) and heptachlor (ISO)"	5.50%
2903.83.00.00	Mirex (ISO)	5.50%
2903.89.11.00	Pesticides	5.50%
2903.89.15.00	Products described in additional U.S. note 3 to section VI	5.50%
2903.89.20.00	Other	5.50%
2903.89.31.00	"Chlorinated, but not otherwise halogenated"	5.50%
2903.91.10.00	Chlorobenzene	5.50%
2903.91.20.00	<i>o</i>-Dichlorobenzene	5.50%
2903.91.30.00	<i>p</i>-Dichlorobenzene	5.50%
2903.92.00.00	"Hexachlorobenzene (ISO) and DDT (ISO) (clofenotane (INN)), (1,1,1-trichloro-2,2- bis(<i>p</i>-chlorophenyl)ethane)"	5.50%
2903.93.00.00	Pentachlorobenzene (ISO)	5.50%
2903.94.00.00	Hexabromobiphenyls	5.50%
2903.99.05.00	"3-Bromo-<i>?</i>,<i>?</i>,<i>?</i>-trifluorotoluene; 2-Chloro-5-bromo-?,?,?-trifluorotoluene; and<i>?</i>-Chloro-3-methyltoluene"	5.50%
2903.99.08.00	"<i>p</i>-Chlorobenzotrifluoride; and 3,4-Dichlorobenzotrifluoride"	5.50%
2903.99.10.00	"<i>m</i>-Dichlorobenzene; 1,1-Dichloro-2,2-bis(<i>p</i>-ethylphenyl)ethane; and Trichlorobenzenes"	5.50%
2903.99.20.00	"Benzyl chloride (<i>?</i>-Chlorotoluene); and Benzotrichloride (<i>?</i>,<i>?</i>,<i>?</i>-Trichlorotoluene)"	5.50%
2903.99.27.00	Tribromocumene	5.50%
2903.99.30.00	Pesticides	5.50%
2903.99.80.01	Other	5.50%
2904.10.04.00	2-Anthracenesulfonic acid	5.50%
2904.10.08.00	Benzenesulfonyl chloride	5.50%
2904.10.10.00	"<i>m</i>-Benzenedisulfonic acid, sodium salt; 1,5-Naphthalenedisulfonic acid; and<i>p</i>-Toluenesulfonyl chloride"	5.50%
2904.10.15.00	"Mixtures of 1,3,6-naphthalenetrisulfonic acid and 1,3,7-naphthalenetrisulfonic acid"	5.50%
2904.10.32.00	Products described in additional U.S. note 3 to section VI	5.50%
2904.10.37.00	Other	5.50%
2904.20.10.00	<i>p</i>-Nitrotoluene	5.50%
2904.20.15.00	<i>p</i>-Nitro-o-xylene	5.50%
2904.20.30.00	"5-<i>tert</i>-Butyl-2,4,6-trinitro-<i>m</i>-xylene (Musk xylol) and other artificial musks"	5.50%
2904.20.35.00	"Nitrated benzene, nitrated toluene (except <i>p</i>-nitrotoluene), or nitrated naphthalene"	5.50%
2904.20.40.00	Products described in additional U.S. note 3 to section VI	5.50%
2904.20.45.00	Other	5.50%
2904.20.50.00	Other	5.50%
2904.99.04.00	<i>o</i>-Nitrochlorobenzene; and<i>p</i>-Nitrochlorobenzene	5.50%
2904.99.08.00	Other	5.50%
2904.99.15.00	"4-Chloro-3-nitro-<i>?</i>,<i>?</i>,<i>?</i>-trifluorotoluene; 2-Chloro-5-nitro-<i>?</i>,<i>?</i>,<i>?</i>-trifluorotoluene; and 4-Chloro-3,5-dinitro-<i>?</i>,<i>?</i>,<i>?</i>-trifluorotoluene"	5.50%
2904.99.20.00	Nitrotoluenesulfonic acids	5.50%
2904.99.30.00	"1-Bromo-2-nitrobenzene; 1,2-Dichloro-4-nitrobenzene and o-Fluoronitrobenzene"	5.50%
2904.99.35.00	"4,4'-Dinitrostilbene-2,2'-disulfonic acid"	5.50%
2904.99.40.00	Products described in additional U.S. note 3 to section VI	5.50%
2904.99.47.00	Other	5.50%
2905.11.20	Other	5.50%
2905.12.00	Propan-1-ol (Propyl alcohol) and propan-2-ol (Isopropyl alcohol)	5.50%
2905.13.00.00	Butan-1-ol (<i>n</i>-Butyl alcohol)	5.50%
2905.14.50	Other	5.50%
2905.19.10.00	Pentanol (Amyl alcohol) and isomers thereof	5.50%
2905.29.10.00	Allyl alcohol	5.50%
2905.31.00.00	Ethylene glycol (Ethanediol)	5.50%
2905.32.00.00	"Propylene glycol (Propane-1,2-diol)"	5.50%
2905.39.10.00	Butylene glycol	5.50%
2905.39.20.00	Neopentyl glycol	5.50%
2905.39.90.00	Other	5.50%
2905.49.20.00	Esters of glycerol formed with acids of heading 2904	5.50%
2905.49.40.00	Other	5.50%
2905.49.50.01	Other	5.50%
2905.59.10.00	Derivatives of monohydric alcohols	5.50%
2905.59.90.00	Other	5.50%
2906.12.00.00	"Cyclohexanol, methylcyclohexanols and dimethylcyclohexanols"	5.50%
2906.19.30.00	Terpineols	5.50%
2906.19.50.00	Other	5.50%
2906.21.00.00	Benzyl alcohol	5.50%
2906.29.10.00	Phenethyl alcohol	5.50%
2906.29.20.00	Other	5.50%
2906.29.60.00	Other	5.50%
2907.11.00.00	Phenol (Hydroxybenzene) and its salts	5.50%
2907.13.00.00	"Octylphenol, nonylphenol and their isomers; salts thereof"	5.50%
2907.15.10.00	<i>?</i>-Naphthol	5.50%
2907.15.60.00	Other	5.50%
2907.19.10.00	Alkylcresols	5.50%
2907.19.20.00	Alkylphenols	5.50%
2907.19.80.00	Other	5.50%
2907.21.00.00	Resorcinol and its salts	5.50%
2907.22.10.00	Photographic grade	5.50%
2907.22.50.00	Other	5.50%
2907.23.00.00	"4,4'-Isopropylidenediphenol (Bisphenol A, Diphenylolpropane) and its salts"	5.50%
2907.29.05.00	Phenol-alcohols	5.50%
2907.29.25.00	<i>tert</i>-Butylhydroquinone	5.50%
2907.29.90.00	Other	5.50%
2908.11.00.00	Pentachlorophenol (ISO)	5.50%
2908.19.10.00	6-Chloro-<i>m</i>-cresol [OH=1];<i>m</i>-Chlorophenol; and Chlorothymol	5.50%
2908.19.15.00	"3-Hydroxy-<i>?</i>,<i>?</i>,<i>?</i>-trifluorotoluene"	5.50%
2908.19.20.00	"Salts of pentachlorophenol; and 2,4,5-Trichlorophenol and its salts"	5.50%
2908.19.25.00	Tetrabromobisphenol A	5.50%
2908.19.35.00	Products described in additional U.S. note 3 to section VI	5.50%
2908.19.60.00	Other	5.50%
2908.91.00.00	Dinoseb (ISO) and its salts	5.50%
2908.92.00.00	"4,6-Dinitro-<i>o</i>-cresol (DNOC) (ISO) and its salts"	5.50%
2908.99.03.00	"2,5-Dihydroxybenzenesulfonic acid, potassium salt; 3,6-Dihydroxy-2,7-naphthalenedisulfonic acid; 3,6-Dihydroxy-2,7-naphthalenedisulfonic acid, sodium salt; 4-Hydroxy-1-naphthalenesulfonic acid, sodium salt; 1-Naphthol-3,6-disulfonic acid; and 2-Naphthol-3,6-disulfonic acid and its salts"	5.50%
2908.99.09.00	"1,8-Dihydroxynaphthalene-3,6-disulfonic acid and its disodium salt"	5.50%
2908.99.12.00	Products described in additional U.S. note 3 to section VI	5.50%
2908.99.15.00	Other	5.50%
2908.99.20.00	<i>p</i>-Nitrophenol	5.50%
2908.99.25.00	Other nitrophenols	5.50%
2908.99.33.00	"Dinitro-<i>o</i>-cresols (other than 4,6-dinitro-<i>o</i>-cresol) and 4-nitro-<i>m</i>-cresol"	5.50%
2908.99.40.00	Dinitrobutylphenol and its salts	5.50%
2908.99.80.00	Products described in additional U.S. note 3 to section VI	5.50%
2908.99.90.00	Other	5.50%
2909.19.14.00	Methyl tertiary-butyl ether (MTBE)	5.50%
2909.19.18.00	Other	5.50%
2909.19.60.00	Other	5.50%
2909.30.05.00	5-Chloro-2-nitroanisole; 6-Chloro-3-nitro-p-dimethoxybenzene; and Dimethyl diphenyl ether	5.50%
2909.30.07.00	Decabromodiphenyl oxide; and Octabromodiphenyl oxide	5.50%
2909.30.10.00	"6-<i>tert</i>-Butyl-3-methyl-2,4-dinitroanisole (Musk ambrette) and other artificial musks"	5.50%
2909.30.20.00	Other	5.50%
2909.30.30.00	Pesticides	5.50%
2909.30.40.00	Products described in additional U.S. note 3 to section VI	5.50%
2909.30.60.00	Other	5.50%
2909.41.00.00	"2,2'-Oxydiethanol (Diethylene glycol, Digol)"	5.50%
2909.43.00.00	Monobutyl ethers of ethylene glycol or of diethylene glycol	5.50%
2909.44.01	Other monoalkyl ethers of ethylene glycol or of diethylene glycol	5.50%
2909.49.10.00	Products described in additional U.S. note 3 to section VI	5.50%
2909.49.15.00	Other	5.50%
2909.49.60.00	Other	5.50%
2909.50.10.00	4-Ethylguaiacol	5.50%
2909.50.20.00	Guaiacol and its derivatives	5.50%
2909.50.45.00	Products described in additional U.S. note 3 to section VI	5.50%
2909.50.50.00	Other	5.50%
2909.60.10.00	Products described in additional U.S. note 3 to section VI	5.50%
2909.60.20.00	Other	5.50%
2910.10.00.00	Oxirane (Ethylene oxide)	5.50%
2910.20.00.00	Methyloxirane (Propylene oxide)	5.50%
2910.90.20.00	Aromatic	5.50%
2912.12.00.00	Ethanal (Acetaldehyde)	5.50%
2912.19.10.00	Citral	5.50%
2912.19.25.00	"Butanal (Butyraldehyde, normal isomer)"	5.50%
2912.19.40.00	Isobutanal	5.50%
2912.19.50.00	Other	5.50%
2912.21.00.00	Benzaldehyde	5.50%
2912.29.10.00	Phenylacetaldehyde	5.50%
2912.29.60	Other	5.50%
2912.41.00.00	Vanillin (4-Hydroxy-3-methoxybenzaldehyde)	5.50%
2912.42.00.00	Ethylvanillin (3-Ethoxy-4-hydroxybenzaldehyde)	5.50%
2912.49.10.00	<i>p</i>-Anisaldehyde	5.50%
2912.49.26.00	Other	5.50%
2912.50.50.00	Other	5.50%
2913.00.40.00	Other	5.50%
2913.00.50.00	Other	5.50%
2914.11.10.00	Derived in whole or in part from cumene	5.50%
2914.22.10.00	Cyclohexanone	5.50%
2914.22.20.00	Methylcyclohexanones	5.50%
2914.23.00.00	Ionones and methylionones	5.50%
2914.31.00.00	Phenylacetone (Phenylpropan-2-one)	5.50%
2914.39.90.00	Other	5.50%
2914.40.20.00	"1,2,3-Indantrione monohydrate (Ninhydrin)"	5.50%
2914.40.40.00	Other	5.50%
2914.50.30.00	Other	5.50%
2914.62.00.00	Coenzyme Q10 (ubidecarenone (INN)	5.50%
2914.69.10.00	Photographic chemicals	5.50%
2914.69.21.00	Drugs	5.50%
2914.69.90.00	Other	5.50%
2914.79.10.00	"2,3-Dichloro-1,4-naphthoquinone 1,8-Dihydroxy-4,5-dinitroanthraquinone; and 4-tert-Butyl-2,6-dimethyl-3,5-dinitroacetophenone (Musk ketone) and other artificial musks"	5.50%
2914.79.40.00	Other	5.50%
2915.11.00.00	Formic acid	5.50%
2915.12.00.00	Salts of formic acid	5.50%
2915.13.10.00	Aromatic	5.50%
2915.33.00.00	<i>n</i>-Butyl acetate	5.50%
2915.36.00.00	Dinoseb (ISO) acetate	5.50%
2915.39.10.00	Benzyl acetate	5.50%
2915.39.20.00	Other	5.50%
2915.39.31.00	Products described in additional U.S. note 3 to section VI	5.50%
2915.39.35.00	Other	5.50%
2915.39.40.00	Linalyl acetate	5.50%
2915.39.47.00	Acetates of polyhydric alcohols or of polyhydric alcohol ethers	5.50%
2915.39.70.00	Isobutyl acetate	5.50%
2915.39.80.00	"2-Ethoxyethyl acetate (Ethylene glycol, monoethyl ether acetate)"	5.50%
2915.40.20.00	Products described in additional U.S. note 3 to section VI	5.50%
2915.40.30.00	Other	5.50%
2915.50.20.00	Aromatic	5.50%
2915.60.10.00	Aromatic	5.50%
2915.90.20.00	Aromatic	5.50%
2933.79.30.00	"<i>N</i>-Vinyl-2-pyrrolidone, monomer"	5.50%
4203.21.60.00	Other	5.50%
6204.42.20.00	Containing 36 percent or more by weight of flax fibers (336)	5.50%
7007.11.00	"Of size and shape suitable for incorporation in vehicles, aircraft, spacecraft or vessels"	5.50%
7113.19.29.00	Other	5.50%
7113.19.50	Other	5.50%
7116.10.25.00	Cultured	5.50%
7307.91.50	Other	5.50%
7307.93.60.00	Of alloy steel (except stainless steel)	5.50%
7616.10.70	"Having shanks, threads or holes over 6 mm in diameter"	5.50%
8108.90.30	Articles of titanium	5.50%
8112.19.00.00	Other	5.50%
8483.90.70.00	Parts of articles of subheading 8483.20	5.50%
8712.00.25.00	If weighing less than <il>16.3 kg</il> complete without accessories and not designed for use with tires having a cross-sectional diameter exceeding <il>4.13 cm</il>	5.50%
8712.00.44.00	"Bicycles having a front wheel exceeding <il>55 cm</il> but not exceeding <il>63.5 cm</il> in diameter and a rear wheel exceeding <il>63.5 cm</il> in diameter, weighing less than <il>16.3 kg</il> complete without accessories and not designed for use with tires having a cross-sectional diameter exceeding <il>4.13 cm</il>, valued $200 or more each"	5.50%
9112.20.80.00	Other cases	5.50%
9112.90.00.00	Parts	5.50%
9817.61.01	"Articles of ski racing apparel which, because of their padding, construction, or other special features, are specially designed to protect against injuries from the sport of ski racing, such as blows caused by slalom gates or falls (provided for in subheading 6101.30.20, 6105.20.20, 6110.11, 6110.12.20, 6110.19, 6110.20.20, 6110.30.30, 6112.20.10, 6114.30.30, 6203.43.15 or 6203.43.35)"	5.50%
9902.03.71	o-Toluidine (CAS No. 95-53-4) (provided for in subheading 2921.43.90)	5.50%
9902.04.97	Ethyl [4-chloro-2-fluoro-5-[[[[methyl(1-methylethyl)a- mino]sulfonyl]amino]carbonyl]phenyl]carbamate (CAS No. 874909-61-2) (provided for in subheading 2929.90.15)	5.50%
9902.07.22	"(5-Cyclopropyl-1,2-oxazol-4-yl)(?,?,?-trifluoro-2- mesyl-p-tolyl)methanone (Isoxaflutole) (CAS No. 141112-29-0) (provided for in subheading 2934.99.15)."	5.50%
9902.14.06	"Footwear with outer soles and uppers of rubber or plastics, not covering the ankle, having uppers of which over 90 percent of the external surface area is rubber or plastics, other than tennis shoes, basketball shoes, gym shoes, training shoes and the like, such footwear for women (and other than work footwear), valued $15/pair or higher (provided for in subheading 6402.99.31)"	5.50%
0709.99.10.00	Chayote (<i>Sechium edule</i>)	5.60%
1704.90.35	Other	5.60%
1806.31.00	Filled	5.60%
1904.20.10.00	"In airtight containers and not containing apricots, citrus fruits, peaches or pears"	5.60%
2005.80.00.00	Sweet corn (<i>Zea mays var. saccharata</i>)	5.60%
2007.99.45.00	Other	5.60%
2008.97.10	"In airtight containers and not containing apricots, citrus fruits, peaches or pears"	5.60%
3912.11.00.00	Nonplasticized	5.60%
3912.12.00.00	Plasticized	5.60%
4302.19.15.00	"Of silver, black or platinum fox (including those of any fox which is a mutation, or type developed, from silver, black or platinum foxes)"	5.60%
